votes,unemployment,med_hhinc,per_capita_inc,poverty_all_ages_pct,deep_pov_all,deep_pov_children,population,area,white,black,native_american,hawaiian_pacific,multi,voter_turnout,democrat,county,state,education,religion,age_old,age_young,age_adult,ethnic_female,ethnic_male
45465,7.2,48018.0,24162.0,15.6,7.481992602,11.33496847,139668.0,1043.4,0.730945731,0.220689411,0.004178893,0.000912144,0.009269931,0.321477815,0,Jackson County,MS,87.5,178,0.22650875,0.322976843,0.397567615,0.368499205,0.362446526
457230,6.5,51951.0,21384.0,20.4,8.548112485,11.68668411,2035210.0,20104.83,0.771752517,0.094947543,0.020377486,0.004599806,0.017133328,0.214850294,1,San Bernardino County,CA,78.6,53,0.17851328,0.3798085,0.403641126,0.384938347,0.38681417
29287,4.4,59020.0,28655.0,8.8,2.949246788,2.799463765,56833.0,795.97,0.957809774,0.015614261,0.006925964,0.000669686,0.006080045,0.516134149,0,Columbia County,WI,92.5,279,0.258304989,0.289586381,0.39018028600000004,0.476728407,0.481081367
17350,5.0,40801.0,22338.0,17.2,7.202817573,12.03919739,38406.0,337.51,0.94175868,0.035147,0.006678196,0.001410137,0.005560729,0.461620327,0,Yadkin County,NC,77.5,117,0.26550485700000004,0.29426633,0.37493681,0.475003326,0.466755355
497,2.1,61571.0,36277.0,9.2,4.179566563,11.62790698,707.0,1156.79,0.942682927,0.015853659,0.006097561,0.0,0.019512195,0.606097561,0,McMullen County,TX,76.2,302,0.30121951300000005,0.286585366,0.362195122,0.454878049,0.487804878
13984,2.9,54186.0,27160.0,10.4,4.006241467,4.020100503,26306.0,573.64,0.966745487,0.011410126,0.004241264,0.000187667,0.005967796,0.524865818,0,Boone County,IA,93.9,244,0.27151597000000005,0.29872761999999997,0.37514544099999997,0.479563112,0.487182374
7430,7.5,30489.0,16076.0,33.4,11.30927402,18.57732614,28258.0,642.51,0.441310316,0.529767949,0.007785174,0.000451314,0.008537365,0.279438866,1,St. Francis County,AR,78.5,101,0.21994057600000003,0.313475497,0.41573583100000006,0.25386438,0.275903569
269161,3.5,55070.0,30076.0,16.5,7.127965223,9.944848041,508640.0,170.08,0.693410365,0.118550619,0.00941403,0.000789768,0.016540521,0.500175607,1,Ramsey County,MN,90.0,147,0.211849115,0.34337050399999997,0.40491662799999995,0.357569597,0.335840768
9540,7.3,43572.0,23310.0,15.1,7.098277075,14.29241962,24069.0,92.57,0.964796574,0.016788009,0.001456103,8.57e-05,0.006423983,0.40856531,0,Brooke County,WV,90.80000000000001,126,0.31023554600000003,0.272591006,0.340299786,0.492762313,0.472034261
178521,5.0,51673.0,27948.0,14.1,6.913296679,11.45233136,322833.0,892.68,0.863221684,0.092531284,0.005270125,0.001021001,0.008137733,0.491293974,0,Manatee County,FL,87.9,72,0.325165328,0.25991485300000006,0.33668254599999997,0.444484807,0.418736876
6038,6.6,32408.0,18858.0,26.1,10.43467962,14.87348735,17212.0,233.2,0.697558982,0.278381219,0.003620649,0.000642373,0.005255781,0.352604532,0,Cook County,GA,75.3,108,0.220334034,0.354064471,0.377832282,0.353305302,0.344253679
8149,4.4,50699.0,24134.0,14.4,5.529650279,9.645187602,19677.0,713.93,0.898193122,0.043423353,0.01175442,0.002865747,0.014474451,0.395813095,0,Lampasas County,TX,87.6,60,0.25854866800000004,0.308480668,0.367738488,0.455508063,0.442685059
3765,3.7,38607.0,20081.0,18.1,10.44409511,17.42394311,10501.0,1057.1,0.935930244,0.025779547,0.015733106,0.001042555,0.00587622,0.356838214,0,Runnels County,TX,79.5,369,0.286797461,0.307459009,0.342147664,0.470287177,0.465643067
5232,4.3,35491.0,16749.0,23.7,8.026416053,11.55282818,17866.0,773.84,0.714735737,0.249387469,0.010500525,0.001516743,0.008342084,0.305215261,0,Falls County,TX,76.2,197,0.25049585900000004,0.306031969,0.39691984500000005,0.36559328,0.349142457
171876,4.3,67676.0,32477.0,8.6,3.894309804,6.280657789,437994.0,497.34,0.682322279,0.200996146,0.004614076,0.001842097,0.020123911,0.379630918,0,Virginia Beach city,VA,93.3,84,0.19988735400000002,0.32740284199999997,0.428782206,0.341958498,0.340363781
2939,13.9,25402.0,12129.0,43.0,17.80971723,27.53164557,7759.0,442.43,0.303818256,0.674284932,0.003147667,0.0,0.006569043,0.402217052,1,East Carroll Parish,LA,68.8,73,0.21554673600000002,0.34569590899999997,0.390447516,0.309703024,0.364581908
16140,8.0,40782.0,21002.0,18.2,9.051219082,13.20568496,63463.0,2962.17,0.905841284,0.009619637,0.033818791,0.001927087,0.016696152,0.254944083,0,Tehama County,CA,82.3,33,0.259145764,0.32386112300000003,0.357569343,0.454855626,0.450985657
